object_1,relations,object_2,image_Name,,Color
elephant,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,elephant,download (15).jpg,,
elephant,is in the right of,cow,download (15).jpg,,
cow,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,cow,download (15).jpg,,
cow,is in the left of,elephant,download (15).jpg,,
elephant,is in the left of,cow,download (15).jpg,,
cow,is in the right of,elephant,download (15).jpg,,
elephant,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,elephant,download (15).jpg,,
cow,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,cow,download (15).jpg,,
cow,is in the right of,cow,download (15).jpg,,
cow,is in the left of,cow,download (15).jpg,,
cow,is in the left of,cow,download (15).jpg,,
cow,is in the right of,cow,download (15).jpg,,
cow,is in the left of,cow,download (15).jpg,,
cow,is in the right of,cow,download (15).jpg,,
cow,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,cow,download (15).jpg,,
cow,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,cow,download (15).jpg,,
cow,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,cow,download (15).jpg,,
elephant,is in the right of,cow,download (15).jpg,,
cow,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,cow,download (15).jpg,,
cow,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,cow,download (15).jpg,,
cow,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,elephant,download (15).jpg,,
cow,is in the left of,cow,download (15).jpg,,
cow,is in the right of,cow,download (15).jpg,,
cow,is in the left of,cow,download (15).jpg,,
cow,is in the right of,cow,download (15).jpg,,
cow,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,cow,download (15).jpg,,
cow,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,cow,download (15).jpg,,
cow,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,cow,download (15).jpg,,
cow,is in the left of,cow,download (15).jpg,,
cow,is in the right of,cow,download (15).jpg,,
cow,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,cow,download (15).jpg,,
cow,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,cow,download (15).jpg,,
cow,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,cow,download (15).jpg,,
cow,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,cow,download (15).jpg,,
cow,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,cow,download (15).jpg,,
cow,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,cow,download (15).jpg,,
elephant,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,elephant,download (15).jpg,,
elephant,is in the right of,elephant,download (15).jpg,,
elephant,is in the left of,elephant,download (16).jpg,,
elephant,is in the right of,elephant,download (16).jpg,,
elephant,is in the left of,car,download (17).jpg,,
car,is in the right of,elephant,download (17).jpg,,
elephant,is in the left of,elephant,download (17).jpg,,
elephant,is in the right of,elephant,download (17).jpg,,
car,is in the right of,elephant,download (17).jpg,,
elephant,is in the left of,car,download (17).jpg,,
car,is in the right of,dog,download (18).jpg,,
dog,is in the left of,car,download (18).jpg,,
elephant,is in the right of,car,download (19).jpg,,
car,is in the left of,elephant,download (19).jpg,,
car,is in the left of,car,download (2).jpg,,
car,is in the right of,car,download (2).jpg,,
person,is in the right of,car,download (3).jpg,,
car,is in the left of,person,download (3).jpg,,
bus,is in the right of,traffic light,download (7).jpg,,
traffic light,is in the left of,bus,download (7).jpg,,
bus,is in the left of,person,download (9).jpg,,
person,is in the right of,bus,download (9).jpg,,
elephant,is in the right of,truck,images (1).jpg,,
truck,is in the left of,elephant,images (1).jpg,,
elephant,is in the left of,car,images (1).jpg,,
car,is in the right of,elephant,images (1).jpg,,
elephant,is in the right of,truck,images (1).jpg,,
truck,is in the left of,elephant,images (1).jpg,,
elephant,is in the left of,car,images (1).jpg,,
car,is in the right of,elephant,images (1).jpg,,
truck,is in the left of,car,images (1).jpg,,
car,is in the right of,truck,images (1).jpg,,
truck,is in the right of,truck,images (1).jpg,,
truck,is in the left of,truck,images (1).jpg,,
truck,is in the left of,car,images (1).jpg,,
car,is in the right of,truck,images (1).jpg,,
car,is in the right of,truck,images (1).jpg,,
truck,is in the left of,car,images (1).jpg,,
car,is in the right of,car,images (1).jpg,,
car,is in the left of,car,images (1).jpg,,
truck,is in the left of,car,images (1).jpg,,
car,is in the right of,truck,images (1).jpg,,
person,is in the right of,car,images.jpg,,
car,is in the left of,person,images.jpg,,
person,is in the right of,elephant,images.jpg,,
elephant,is in the left of,person,images.jpg,,
person,is in the left of,person,images.jpg,,
person,is in the right of,person,images.jpg,,
person,is in the right of,person,images.jpg,,
person,is in the left of,person,images.jpg,,
person,is in the right of,person,images.jpg,,
person,is in the left of,person,images.jpg,,
car,is in the left of,elephant,images.jpg,,
elephant,is in the right of,car,images.jpg,,
car,is in the left of,person,images.jpg,,
person,is in the right of,car,images.jpg,,
car,is in the right of,person,images.jpg,,
person,is in the left of,car,images.jpg,,
car,is in the right of,person,images.jpg,,
person,is in the left of,car,images.jpg,,
elephant,is in the left of,person,images.jpg,,
person,is in the right of,elephant,images.jpg,,
elephant,is in the right of,person,images.jpg,,
person,is in the left of,elephant,images.jpg,,
elephant,is in the right of,person,images.jpg,,
person,is in the left of,elephant,images.jpg,,
person,is in the right of,person,images.jpg,,
person,is in the left of,person,images.jpg,,
person,is in the right of,person,images.jpg,,
person,is in the left of,person,images.jpg,,
cat_0.98,is in the bottom of,cup_0.34,download (10).jpg,,
cup_0.34,is in the top of,cat_0.98,download (10).jpg,,
elephant_0.93,is in the bottom of,elephant_0.84,download (14).jpg,,
elephant_0.84,is in the top of,elephant_0.93,download (14).jpg,,
elephant_0.92,is in the top of,cow_0.84,download (15).jpg,,
cow_0.84,is in the bottom of,elephant_0.92,download (15).jpg,,
elephant_0.92,is in the bottom of,elephant_0.82,download (15).jpg,,
elephant_0.82,is in the top of,elephant_0.92,download (15).jpg,,
elephant_0.92,is in the top of,cow_0.79,download (15).jpg,,
cow_0.79,is in the bottom of,elephant_0.92,download (15).jpg,,
elephant_0.92,is in the top of,cow_0.74,download (15).jpg,,
cow_0.74,is in the bottom of,elephant_0.92,download (15).jpg,,
elephant_0.92,is in the bottom of,cow_0.72,download (15).jpg,,
cow_0.72,is in the top of,elephant_0.92,download (15).jpg,,
elephant_0.92,is in the top of,elephant_0.58,download (15).jpg,,
elephant_0.58,is in the bottom of,elephant_0.92,download (15).jpg,,
elephant_0.92,is in the bottom of,elephant_0.49,download (15).jpg,,
elephant_0.49,is in the top of,elephant_0.92,download (15).jpg,,
elephant_0.92,is in the top of,elephant_0.3,download (15).jpg,,
elephant_0.3,is in the bottom of,elephant_0.92,download (15).jpg,,
cow_0.84,is in the bottom of,elephant_0.82,download (15).jpg,,
elephant_0.82,is in the top of,cow_0.84,download (15).jpg,,
cow_0.84,is in the top of,cow_0.79,download (15).jpg,,
cow_0.79,is in the bottom of,cow_0.84,download (15).jpg,,
cow_0.84,is in the top of,cow_0.74,download (15).jpg,,
cow_0.74,is in the bottom of,cow_0.84,download (15).jpg,,
cow_0.84,is in the bottom of,cow_0.72,download (15).jpg,,
cow_0.72,is in the top of,cow_0.84,download (15).jpg,,
cow_0.84,is in the top of,elephant_0.58,download (15).jpg,,
elephant_0.58,is in the bottom of,cow_0.84,download (15).jpg,,
cow_0.84,is in the bottom of,elephant_0.49,download (15).jpg,,
elephant_0.49,is in the top of,cow_0.84,download (15).jpg,,
cow_0.84,is in the top of,elephant_0.3,download (15).jpg,,
elephant_0.3,is in the bottom of,cow_0.84,download (15).jpg,,
elephant_0.82,is in the top of,cow_0.79,download (15).jpg,,
cow_0.79,is in the bottom of,elephant_0.82,download (15).jpg,,
elephant_0.82,is in the top of,cow_0.74,download (15).jpg,,
cow_0.74,is in the bottom of,elephant_0.82,download (15).jpg,,
elephant_0.82,is in the top of,cow_0.72,download (15).jpg,,
cow_0.72,is in the bottom of,elephant_0.82,download (15).jpg,,
elephant_0.82,is in the top of,elephant_0.58,download (15).jpg,,
elephant_0.58,is in the bottom of,elephant_0.82,download (15).jpg,,
elephant_0.82,is in the top of,elephant_0.49,download (15).jpg,,
elephant_0.49,is in the bottom of,elephant_0.82,download (15).jpg,,
elephant_0.82,is in the top of,elephant_0.3,download (15).jpg,,
elephant_0.3,is in the bottom of,elephant_0.82,download (15).jpg,,
cow_0.79,is in the top of,cow_0.74,download (15).jpg,,
cow_0.74,is in the bottom of,cow_0.79,download (15).jpg,,
cow_0.79,is in the bottom of,cow_0.72,download (15).jpg,,
cow_0.72,is in the top of,cow_0.79,download (15).jpg,,
cow_0.79,is in the bottom of,elephant_0.58,download (15).jpg,,
elephant_0.58,is in the top of,cow_0.79,download (15).jpg,,
cow_0.79,is in the bottom of,elephant_0.49,download (15).jpg,,
elephant_0.49,is in the top of,cow_0.79,download (15).jpg,,
cow_0.79,is in the top of,elephant_0.3,download (15).jpg,,
elephant_0.3,is in the bottom of,cow_0.79,download (15).jpg,,
cow_0.74,is in the bottom of,cow_0.72,download (15).jpg,,
cow_0.72,is in the top of,cow_0.74,download (15).jpg,,
cow_0.74,is in the bottom of,elephant_0.58,download (15).jpg,,
elephant_0.58,is in the top of,cow_0.74,download (15).jpg,,
cow_0.74,is in the bottom of,elephant_0.49,download (15).jpg,,
elephant_0.49,is in the top of,cow_0.74,download (15).jpg,,
cow_0.74,is in the top of,elephant_0.3,download (15).jpg,,
elephant_0.3,is in the bottom of,cow_0.74,download (15).jpg,,
cow_0.72,is in the top of,elephant_0.58,download (15).jpg,,
elephant_0.58,is in the bottom of,cow_0.72,download (15).jpg,,
cow_0.72,is in the top of,elephant_0.3,download (15).jpg,,
elephant_0.3,is in the bottom of,cow_0.72,download (15).jpg,,
elephant_0.58,is in the bottom of,elephant_0.49,download (15).jpg,,
elephant_0.49,is in the top of,elephant_0.58,download (15).jpg,,
elephant_0.58,is in the top of,elephant_0.3,download (15).jpg,,
elephant_0.3,is in the bottom of,elephant_0.58,download (15).jpg,,
elephant_0.49,is in the top of,elephant_0.3,download (15).jpg,,
elephant_0.3,is in the bottom of,elephant_0.49,download (15).jpg,,
elephant_0.94,is in the top of,elephant_0.57,download (16).jpg,,
elephant_0.57,is in the bottom of,elephant_0.94,download (16).jpg,,
elephant_0.99,is in the top of,car_0.74,download (17).jpg,,
car_0.74,is in the bottom of,elephant_0.99,download (17).jpg,,
elephant_0.99,is in the top of,elephant_0.61,download (17).jpg,,
elephant_0.61,is in the bottom of,elephant_0.99,download (17).jpg,,
car_0.74,is in the bottom of,elephant_0.61,download (17).jpg,,
elephant_0.61,is in the top of,car_0.74,download (17).jpg,,
car_0.99,is in the bottom of,dog_0.83,download (18).jpg,,
dog_0.83,is in the top of,car_0.99,download (18).jpg,,
elephant_0.99,is in the top of,car_0.94,download (19).jpg,,
car_0.94,is in the bottom of,elephant_0.99,download (19).jpg,,
car_1.0,is in the bottom of,car_0.92,download (2).jpg,,
car_0.92,is in the top of,car_1.0,download (2).jpg,,
person_1.0,is in the top of,car_0.99,download (3).jpg,,
car_0.99,is in the bottom of,person_1.0,download (3).jpg,,
bus_1.0,is in the bottom of,traffic light_0.45,download (7).jpg,,
traffic light_0.45,is in the top of,bus_1.0,download (7).jpg,,
bus_1.0,is in the top of,person_0.31,download (9).jpg,,
person_0.31,is in the bottom of,bus_1.0,download (9).jpg,,
elephant_0.98,is in the top of,truck_0.83,images (1).jpg,,
truck_0.83,is in the bottom of,elephant_0.98,images (1).jpg,,
elephant_0.98,is in the top of,car_0.76,images (1).jpg,,
car_0.76,is in the bottom of,elephant_0.98,images (1).jpg,,
elephant_0.98,is in the top of,truck_0.69,images (1).jpg,,
truck_0.69,is in the bottom of,elephant_0.98,images (1).jpg,,
elephant_0.98,is in the top of,car_0.4,images (1).jpg,,
car_0.4,is in the bottom of,elephant_0.98,images (1).jpg,,
truck_0.83,is in the top of,car_0.76,images (1).jpg,,
car_0.76,is in the bottom of,truck_0.83,images (1).jpg,,
truck_0.83,is in the top of,truck_0.69,images (1).jpg,,
truck_0.69,is in the bottom of,truck_0.83,images (1).jpg,,
truck_0.83,is in the top of,car_0.4,images (1).jpg,,
car_0.4,is in the bottom of,truck_0.83,images (1).jpg,,
car_0.76,is in the bottom of,truck_0.69,images (1).jpg,,
truck_0.69,is in the top of,car_0.76,images (1).jpg,,
car_0.76,is in the bottom of,car_0.4,images (1).jpg,,
car_0.4,is in the top of,car_0.76,images (1).jpg,,
truck_0.69,is in the top of,car_0.4,images (1).jpg,,
car_0.4,is in the bottom of,truck_0.69,images (1).jpg,,
person_0.99,is in the bottom of,car_0.98,images.jpg,,
car_0.98,is in the top of,person_0.99,images.jpg,,
person_0.99,is in the bottom of,elephant_0.92,images.jpg,,
elephant_0.92,is in the top of,person_0.99,images.jpg,,
person_0.99,is in the bottom of,person_0.9,images.jpg,,
person_0.9,is in the top of,person_0.99,images.jpg,,
person_0.99,is in the bottom of,person_0.43,images.jpg,,
person_0.43,is in the top of,person_0.99,images.jpg,,
person_0.99,is in the bottom of,person_0.3,images.jpg,,
person_0.3,is in the top of,person_0.99,images.jpg,,
car_0.98,is in the bottom of,elephant_0.92,images.jpg,,
elephant_0.92,is in the top of,car_0.98,images.jpg,,
car_0.98,is in the top of,person_0.9,images.jpg,,
person_0.9,is in the bottom of,car_0.98,images.jpg,,
car_0.98,is in the top of,person_0.43,images.jpg,,
person_0.43,is in the bottom of,car_0.98,images.jpg,,
car_0.98,is in the top of,person_0.3,images.jpg,,
person_0.3,is in the bottom of,car_0.98,images.jpg,,
elephant_0.92,is in the top of,person_0.9,images.jpg,,
person_0.9,is in the bottom of,elephant_0.92,images.jpg,,
elephant_0.92,is in the top of,person_0.43,images.jpg,,
person_0.43,is in the bottom of,elephant_0.92,images.jpg,,
elephant_0.92,is in the top of,person_0.3,images.jpg,,
person_0.3,is in the bottom of,elephant_0.92,images.jpg,,
person_0.9,is in the bottom of,person_0.43,images.jpg,,
person_0.43,is in the top of,person_0.9,images.jpg,,
person_0.9,is in the bottom of,person_0.3,images.jpg,,
person_0.3,is in the top of,person_0.9,images.jpg,,
person_0.43,is in the bottom of,person_0.3,images.jpg,,
person_0.3,is in the top of,person_0.43,images.jpg,,
,,,,,
